[2024-02-22 23:34:21,495] - Register - Step 01: Navigate to 'Register' page
[2024-02-22 23:34:22,706] - Register - Step 02: Select to Radio button
[2024-02-22 23:34:23,131] - Register - Step 03: Enter to Firstname textbox with value is'Automation'
[2024-02-22 23:34:23,339] - Register - Step 04: Enter to Lastname textbox with value is'FC'
[2024-02-22 23:34:23,443] - Register - Step 05: Enter to Email textbox with value is'automationfc7164@gmail.com'
[2024-02-22 23:34:23,594] - Register - Step 06: Enter to Password textbox with value is'123456'
[2024-02-22 23:34:23,721] - Register - Step 07: Enter to Confirm password textbox with value is'123456'
[2024-02-22 23:34:23,830] - Register - Step 08: Enter to Company textbox with value is'AFC'
[2024-02-22 23:34:23,928] - Register - Step 09: Select Birth day dropdown with value is'11'
[2024-02-22 23:34:24,347] - Register - Step 10: Select Birth month dropdown with value is'May'
[2024-02-22 23:34:24,695] - Register - Step 11: Select Birth year dropdown with value is'1996'
[2024-02-22 23:34:25,027] - Register - Step 12: Select checkbox by ID
[2024-02-22 23:34:25,100] - Register - Step 13: Click 'Register' button
[2024-02-22 23:34:25,919] - Register - Step 14: Verify register success message is displayed
[2024-02-22 23:34:26,093] - Register - Step 15: Click 'Continue' button
[2024-02-22 23:34:26,800] - Login - Step 01: Navigate to 'Login' page
[2024-02-22 23:34:27,357] - Login - Step 02: Enter to Email textbox with value is 'automationfc7164@gmail.com'
[2024-02-22 23:34:27,558] - Login - Step 03: Enter to Password textbox with value is '123456'
[2024-02-22 23:34:27,679] - Login - Step 04: Click 'Log in' button
[2024-02-22 23:34:28,420] - Login - Step 03: Verify 'My Account Link' is displayed
[2024-02-22 23:34:28,617] - My Account - Step 01: Navigate to 'Customer Infor' page
[2024-02-22 23:34:29,074] - My Account - Step 02: Verify 'Customer Info' page is displayed
[2024-02-22 23:34:29,276] - My Account - Step 03: Verify 'First name' textbox is correct
[2024-02-22 23:34:29,379] - My Account - Step 04: Verify 'Last name' textbox is correct
[2024-02-22 23:34:29,466] - My Account - Step 05: Verify 'Email' textbox is correct
[2024-02-22 23:34:29,549] - OS name = windows 10
[2024-02-22 23:34:29,549] - Driver instance name = firefoxdriver: firefox on windows (6d486855-2092-4e65-89bd-379f716950c1)
[2024-02-22 23:35:10,276] - Register - Step 01: Navigate to 'Register' page
[2024-02-22 23:35:11,482] - Register - Step 02: Select to Radio button
[2024-02-22 23:35:11,944] - Register - Step 03: Enter to Firstname textbox with value is'Automation'
[2024-02-22 23:35:12,139] - Register - Step 04: Enter to Lastname textbox with value is'FC'
[2024-02-22 23:35:12,283] - Register - Step 05: Enter to Email textbox with value is'automationfc7818@gmail.com'
[2024-02-22 23:35:12,444] - Register - Step 06: Enter to Password textbox with value is'123456'
[2024-02-22 23:35:12,608] - Register - Step 07: Enter to Confirm password textbox with value is'123456'
[2024-02-22 23:35:12,733] - Register - Step 08: Enter to Company textbox with value is'AFC'
[2024-02-22 23:35:12,837] - Register - Step 09: Select Birth day dropdown with value is'11'
[2024-02-22 23:35:13,260] - Register - Step 10: Select Birth month dropdown with value is'May'
[2024-02-22 23:35:13,589] - Register - Step 11: Select Birth year dropdown with value is'1996'
[2024-02-22 23:35:13,914] - Register - Step 12: Select checkbox by ID
[2024-02-22 23:35:13,982] - Register - Step 13: Click 'Register' button
[2024-02-22 23:35:14,719] - Register - Step 14: Verify register success message is displayed
